"ref_area.label","indicator.label","source.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2021",5.58,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15-24","2021",8.71,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 25+","2021",4.41,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Male","Age (Youth, adults): 15+","2021",5.6,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Male","Age (Youth, adults): 15-24","2021",8.45,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Male","Age (Youth, adults): 25+","2021",4.6,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Female","Age (Youth, adults): 15+","2021",5.5,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Female","Age (Youth, adults): 15-24","2021",9.41,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Female","Age (Youth, adults): 25+","2021",3.77,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2020",11.71,"Break in series",,"Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15-24","2020",16.2,"Break in series",,"Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 25+","2020",9.79,"Break in series",,"Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Male","Age (Youth, adults): 15+","2020",10.45,"Break in series",,"Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Male","Age (Youth, adults): 15-24","2020",14.54,"Break in series",,"Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Male","Age (Youth, adults): 25+","2020",8.86,"Break in series",,"Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Female","Age (Youth, adults): 15+","2020",16.77,"Break in series",,"Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Female","Age (Youth, adults): 15-24","2020",21.11,"Break in series",,"Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Female","Age (Youth, adults): 25+","2020",14.12,"Break in series",,"Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Total","Age (Youth, adults): 15+","2017",11.18,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Total","Age (Youth, adults): 15-24","2017",17.57,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Total","Age (Youth, adults): 25+","2017",8.32,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Male","Age (Youth, adults): 15+","2017",10.37,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Male","Age (Youth, adults): 15-24","2017",16.29,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Male","Age (Youth, adults): 25+","2017",7.86,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Female","Age (Youth, adults): 15+","2017",14.03,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Female","Age (Youth, adults): 15-24","2017",21.4,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Female","Age (Youth, adults): 25+","2017",10.05,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Total","Age (Youth, adults): 15+","2014",7.91,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Total","Age (Youth, adults): 15-24","2014",9.96,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Total","Age (Youth, adults): 25+","2014",6.77,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Male","Age (Youth, adults): 15+","2014",7.2,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Male","Age (Youth, adults): 15-24","2014",8.86,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Male","Age (Youth, adults): 25+","2014",6.36,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Female","Age (Youth, adults): 15+","2014",10.11,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Female","Age (Youth, adults): 15-24","2014",12.55,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate (%)","HIES - Households Living Conditions Survey","Sex: Female","Age (Youth, adults): 25+","2014",8.25,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Total","Age (Youth, adults): 15+","2021",15.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Total","Age (Youth, adults): 15-24","2021",29.58,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Total","Age (Youth, adults): 25+","2021",11.02,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Male","Age (Youth, adults): 15+","2021",15.82,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Male","Age (Youth, adults): 15-24","2021",31.9,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Male","Age (Youth, adults): 25+","2021",10.08,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Female","Age (Youth, adults): 15+","2021",15.78,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Female","Age (Youth, adults): 15-24","2021",27.26,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Female","Age (Youth, adults): 25+","2021",11.9,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Total","Age (Youth, adults): 15+","2019",16.5,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Total","Age (Youth, adults): 15-24","2019",31.2,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Total","Age (Youth, adults): 25+","2019",11.33,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Male","Age (Youth, adults): 15+","2019",16.45,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Male","Age (Youth, adults): 15-24","2019",33.38,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Male","Age (Youth, adults): 25+","2019",10.49,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Female","Age (Youth, adults): 15+","2019",16.55,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Female","Age (Youth, adults): 15-24","2019",29.07,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Employment Survey","Sex: Female","Age (Youth, adults): 25+","2019",12.15,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","PC - Population Census","Sex: Total","Age (Youth, adults): 15+","2014",9.58,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","PC - Population Census","Sex: Total","Age (Youth, adults): 15-24","2014",17.33,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","PC - Population Census","Sex: Total","Age (Youth, adults): 25+","2014",7.58,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","PC - Population Census","Sex: Male","Age (Youth, adults): 15+","2014",9.96,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","PC - Population Census","Sex: Male","Age (Youth, adults): 15-24","2014",17.87,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","PC - Population Census","Sex: Male","Age (Youth, adults): 25+","2014",8.03,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","PC - Population Census","Sex: Female","Age (Youth, adults): 15+","2014",9.1,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","PC - Population Census","Sex: Female","Age (Youth, adults): 15-24","2014",16.72,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","SDG indicator 8.5.2 - Unemployment rate (%)","PC - Population Census","Sex: Female","Age (Youth, adults): 25+","2014",7.01,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2019",11.47,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15-24","2019",26.98,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 25+","2019",9.47,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Male","Age (Youth, adults): 15+","2019",11.58,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Male","Age (Youth, adults): 15-24","2019",27.76,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Male","Age (Youth, adults): 25+","2019",9.37,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Female","Age (Youth, adults): 15+","2019",11.32,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Female","Age (Youth, adults): 15-24","2019",25.85,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Female","Age (Youth, adults): 25+","2019",9.61,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15+","2018",12.3,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 15-24","2018",28.13,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Total","Age (Youth, adults): 25+","2018",10.2,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Male","Age (Youth, adults): 15+","2018",12.63,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Male","Age (Youth, adults): 15-24","2018",29.51,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Male","Age (Youth, adults): 25+","2018",10.08,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Female","Age (Youth, adults): 15+","2018",11.88,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","SDG indicator 8.5.2 - Unemployment rate (%)","LFS - Labour Force Survey","Sex: Female","Age (Youth, adults): 15-24","2018",25.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
